"","id","Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Positive_Review","Review_Total_Positive_Word_Counts","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"140617",140629,"DoubleTree by Hilton London Westminster","GB","London",51.4932356,-0.1269082,"4","1000","20800","NULL","Solo traveler","Business trip","1",20160609,"420 day",0,0,3269,0,42.1053,"United Kingdom ","An iMac is not a TV just a pain ",11,"Great location for Westminster and Central London",8,8.5,10,9,807,1
"515021",515033,"Holiday Inn London Kensington","GB","London",51.499981,-0.1928791,"29","1100","10600","NULL","Couple","Leisure trip","2",20160315,"506 day",0,0,5945,0,28.5714,"Ireland ","It would be nice to have the leisure facilities included in the price ",15,"Bed was so comfy ",6,7.8,9.6,3,1172,1
"212375",212387,"H tel Du Jeu De Paume","FR","Paris",48.8520377,2.3557092,"39","4200","28600","Family","Family with young children","Leisure trip","3",20170506,"89 days",0,0,312,1,52.8736,"United States of America ","There was a note on the desk in our room asking that food and drinks not be brought into the room for your comfort however a mini bar was located in the room with drinks and nuts for purchase ",41,"The staff was extremely friendly and helpful We enjoyed the accommodations The reason I didn t recommend this room for families is that the second bed couch was located on the first floor with the exterior door and the bedroom is upstairs Great location ",46,8.7,9.6,4,61,0
"132840",132852,"Innkeeper s Lodge London Greenwich","GB","London",51.4801631,-0.0097201,"58","255","4100","Standard","Couple","Leisure trip","2",20160503,"457 day",0,0,1191,1,86.1111,"United Kingdom ","To be honest nothing",5,"The inclusive breakfast was excellent and catered for most tastes and the staff could not have been more helpful and the live entertainment on Saturday night was a great bonus",31,8.2,10,4,253,1
"370266",370278,"Ilunion Bel Art","ES","Barcelona",41.4101934,2.1695574,"4","980","13900","NULL","Group","Leisure trip","6",20170803,"0 days",0,0,353,1,88.8889,"United States of America ","The shower floor was slippery ",7,"The room was clean and comfortable with a window overlooking the street The lobby decor was interesting A couple sidewalk cafes and a grocery were very close The staff was friendly and very helpful While not in the center of things metro stops were 4 5 blocks away allowing access to pretty much anywhere ",56,7.9,9.6,4,35,1
"94687",94699,"The Royal Horseguards","GB","London",51.5054185,-0.1241499,"9","3700","21200","NULL","Couple","Leisure trip","3",20151110,"632 day",0,0,2007,1,93.9394,"Russia ","No",2,"Very good central location good connection to Heathrow via Paddington and short taxi ride to the Hotel good breakfast and lunch in a rest restaurant very friendly and helpful staff",31,8.9,9.6,16,475,0
"426099",426111,"Ilunion Barcelona","ES","Barcelona",41.3989322,2.2024183,"22","517","10000","NULL","Solo traveler","Leisure trip","10",20150904,"699 day",0,0,3944,1,100,"United States of America ","No Negative",0,"Location near a community with caf was nice and it was 3 blocks from beach not in downtown so local charm",22,7.9,8.3,1,396,0
"73480",73492,"Malmaison London","GB","London",51.520943,-0.1004581,"20","1700","20800","Standard","Group","Leisure trip","2",20160128,"553 day",0,0,1374,1,89.2857,"United Kingdom ","Not applicable",3,"Because I got a great deal for the accommodation I was delighted with the room we were given Very comfortable loved the bathroom ",25,8.7,10,17,431,0
"405728",405740,"Glam Milano","IT","Milan",45.4838504,9.2034067,"33","1200","10400","NULL","Couple","Leisure trip","1",20160806,"362 day",0,0,7371,0,44.4444,"United Kingdom ","Food and general service sub standard and below the standard expected for he price",15,"Food and service below standard for a 4 star hotel ",12,8.8,5,1,639,1
"7948",7960,"Hotel Trianon Rive Gauche","FR","Paris",48.8487675,2.3410376,"45","3300","30200","NULL","Couple","Leisure trip","3",20160421,"469 day",0,0,967,1,100,"Switzerland ","No Negative",0,"The room decor is very nice and new The bathroom is newly renovated However a bit on the small side but convenient ",24,8.2,9.2,15,99,1
"242326",242338,"Hotel Cavendish","GB","London",51.5220522,-0.132414,"17","4900","20700","NULL","Solo traveler","Leisure trip","3",20170802,"1 days",0,0,2275,0,11.465,"Canada ","This property was not up to any standards Pillows were so old and should have been replaced long ago The tap on the bathroom sink barely ran water The room was supposed to be for three people and there was literally no room for luggage We had to open one case at a time as there was no room for us to manage all three pieces of luggage The chair opened up to a bed which was so uncomfortable that my grandson had the worst sleeps in the 21 days we were travelling When I went to pay I was told that my credit card had already been charged No where in the eight hotels I had booked for our trip did the hotel charge my credit card without telling me I would not recommend this hotel ",139,"This property was not up to any standards I did not like anything in this hotel ",18,6.4,2.5,5,369,0
"361196",361208,"Hilton London Wembley","GB","London",51.5576962,-0.2835263,"11","554","2800","Executive","Couple","Business trip","2",20170729,"5 days",0,0,4305,0,33.945,"United Kingdom ","The front desk was helpful but not what you d except for a four star hotel you will have to repeat yourselves a few times The pool was take up with an outside swimming class which were teaching small children and there was no room for a paying guest but this was the only bad points which id like to see change but i will be back thats for sure ",72,"Its easy to find if you live outside of London and your traveling to wembley as its about 2 minutes walk the hotel Its very clean and the staff on the front desk are helpful ",37,8.8,7.5,3,1427,0
"315115",315127,"Melia Vienna","AT","Donauinsel",48.231911,16.4129493,"8","198","5100","NULL","Group","Leisure trip","3",20160108,"573 day",0,0,3557,1,60,"United Kingdom ","MUSAK The background music of euro tecno all the time and repetitive It must drive the staff bonkers ",20,"Great hotel and location just outside the city and only a short 15 minute transfer by metro to the centre Excellent quality hotel well priced and very comfortable ",30,8.6,9.6,15,321,0
"281054",281066,"Hotel SB Icaria Barcelona","ES","Barcelona",41.3935591,2.1993915,"4","579","10900","NULL","Couple","Leisure trip","3",20170411,"114 day",0,0,3633,0,49.1936,"United Kingdom ","There wasn t very much in the immediate area of the hotel in terms of facilities shops bars etc However the city centre wasn t too far away on the bus which made up for it Also the pool was a little on the smaller side for the size of the hotel but this wasn t a major problem for us ",63,"The staff were very friendly nothing was too much trouble and they were really helpful The hotel was a 10 16 minute walk to the beach harbour which offers plenty of bars and restaurants You could catch a bus into the main city which took around 20 minutes and only cost 2 euros Our room was clean and comfortable ",61,8,8.8,2,439,1
"458830",458842,"The Tower A Guoman Hotel","GB","London",51.5064721,-0.0716893,"13","1200","12000","NULL","Couple","Leisure trip","2",20160831,"337 day",0,0,3486,0,35,"United Kingdom ","The room was very warm as there was not sufficient air con",13,"Far above our expectations Fantastic location",7,8.6,9.2,1,950,1
"396099",396111,"Grosvenor House A JW Marriott Hotel","GB","London",51.5082019,-0.1545589,"6","1800","19700","Deluxe","Couple","Leisure trip","1",20160920,"317 day",0,0,564,0,32.2581,"United Kingdom ","Lack of staff in the Park Room Unhelpful and could not care attitude of the Staff in the Red Bar",21,"Room and the Steakhouse for food and the staff",10,7.9,5.8,2,184,1
"257489",257501,"Adria Boutique Hotel","GB","London",51.4933372,-0.1788931,"7","717","15200","NULL","Solo traveler","Business trip","1",20161217,"229 day",0,0,478,0,25,"Netherlands ","Room a little bit small",6,"Locations",2,8.8,8.8,13,92,1
"454337",454349,"Hilton London Canary Wharf","GB","London",51.5007324,-0.01655,"5","442","4300","NULL","Couple","Leisure trip","1",20170219,"165 day",0,0,3040,1,67.6471,"United Kingdom ","Perhaps the fittings in the room were a bit dated",11,"Staff very friendly and helpful The room was spacious and very clean and breakfast was excellent We will definitely recommend the hotel",23,9,10,6,974,0
"34901",34913,"The Rembrandt","GB","London",51.4959227,-0.1702917,"6","828","17500","Classic","Family with older children","Leisure trip","1",20151219,"593 day",0,0,1802,0,22.2222,"United Kingdom ","The TV didn t work in our room we rang down to reception they said someone would be up shortly no one turned up we did miss not having a TV for morning news",35,"The hotel is very cosy this time of year",10,8.5,8.8,1,421,1
"439785",439797,"Capri by Fraser Barcelona","ES","Barcelona",41.3976233,2.188975,"5","791","12700","Art","Family with young children","Leisure trip","15",20160412,"478 day",0,0,2988,1,87.5,"Nigeria ","Nothing ",3,"The proximity to areas of interest size of the apartment cleanliness self service laundry the staff were absolutely wonderful ",21,8.8,9.6,8,289,1
"443018",443030,"Copthorne Tara Hotel London Kensington","GB","London",51.499046,-0.1917073,"4","1100","10900","Standard","Family with young children","Leisure trip","5",20161221,"225 day",0,0,7105,1,52.1739,"United Kingdom ","Large coach parties to be allocated separate eating areas ",11,"Value for money Excellent location Staff very helpful and friendly ",12,8.1,10,6,1831,0
"178562",178574,"Little Palace Hotel","FR","Paris",48.8675674,2.3539896,"22","4900","28800","Suite","Couple","Leisure trip","2",20151015,"658 day",0,0,1377,0,18.1818,"Canada ","rough location some issues upon check in regarding odd sounds staff were not super helpful just didn t want to assist at all Cost for this hotel suite were very high compared to others ",36,"Room was clean nice as advertised ",8,8.2,6.7,11,166,0
"281872",281884,"Hotel Barcelona Universal","ES","Barcelona",41.375237,2.1684058,"42","2900","13800","NULL","Group","Leisure trip","2",20160915,"322 day",0,0,807,1,100,"United Kingdom ","No Negative",0,"The staff were lovely kind bubbly and superb especially on the roof top bar It was your friendly staff that made our stay so enjoyable and the cocktails too ",31,8.8,10,1,111,0
"403972",403984,"Hotel Wandl","AT","Vienna",48.2097026,16.3703902,"66","2700","10300","NULL","Solo traveler","Leisure trip","3",20151005,"668 day",0,0,1799,1,100,"United States of America ","No Negative",0,"Clean quiet hotel near St Stephens cathedral and an easy walk to the Hofburg Palace and museum district ",20,8.5,8.8,3,173,0
"48116",48128,"Saint Georges Hotel","GB","London",51.517839,-0.1424476,"67","3700","20100","NULL","Couple","Leisure trip","3",20160210,"540 day",0,0,2092,1,100,"United Kingdom ","No Negative",0,"location",2,7.5,8.3,11,368,0
"368913",368925,"Best Western Blue Tower Hotel","NL","Amsterdam",52.3793659,4.8457179,"9","185","5300","NULL","Solo traveler","Business trip","2",20160526,"434 day",0,0,3869,0,20,"Switzerland ","carpet in the room very old facilities water in the shower does not drown off malodorous in the room",20,"Breakfast variety quality ",5,7.4,5,29,587,0
"79710",79722,"Courthouse Hotel London","GB","London",51.5143624,-0.1394483,"106","4200","20200","Classic","Couple","Leisure trip","1",20160809,"359 day",0,0,1786,1,100,"United Kingdom ","No Negative",0,"Amazing features in the building Lovely spa area Excellent location",11,8,9.6,3,355,1
"81501",81513,"H tel Les Dames du Panth on","FR","Paris",48.845743,2.34493,"13","3100","29900","Superior","Couple","Leisure trip","2",20160216,"534 day",0,0,234,1,54.8387,"United Kingdom ","Not possible to order lunch Dining room did not look great But there are plenty of eateries very close by This should not put you off ",28,"Comfortable beds Room had a good view Pleasant staff Clean Good location I would happily return for another short stay if using the room for a base to see the city from ",34,8.8,8.8,9,33,0
"1178",1190,"Apex Temple Court Hotel","GB","London",51.5137335,-0.1087512,"29","1700","21700","City","Solo traveler","Business trip","3",20160531,"429 day",0,0,2619,0,27.5862,"Germany ","Expensive breakfast stairs in front of the hotel made it very inconvenient to disabled people and guests with heavier luggage",21,"Great connection to public transport polite service",8,9.2,8.3,18,639,1
"467828",467840,"Courtyard by Marriott Vienna Prater Messe","AT","Vienna",48.2130607,16.4133973,"2","129","5000","NULL","Family with young children","Leisure trip","1",20170724,"10 days",0,0,1766,1,71.7391,"United States of America ","Didnt really have many good restaurants nearby but there is bakery just around the corner if you want a different breakfast from the hotel ",26,"Breakfast spread every morning was delicious with options to custom order eggs any way you want to Cafe machine produced some great cappuccino and cafe latte The rooms were standard size and big enough to put luggage and still have space to walk around The views from the room were not bad Room service was thorough with their cleaning and did a splendid job ",66,8.7,10,6,180,0
"133677",133689,"Maison Albar H tel Paris Champs Elys es ex Mac Mahon ","FR","Paris",48.8753837,2.2944651,"39","1700","18100","NULL","Solo traveler","Leisure trip","1",20160404,"486 day",0,0,774,0,42.8571,"Saudi Arabia ","To much noise",4,"The location",3,8.4,5.4,2,117,1
"54909",54921,"Sofitel Paris Le Faubourg","FR","Paris",48.868414,2.3213247,"33","2200","28800","Luxury","Couple","Leisure trip","3",20160407,"483 day",0,0,564,0,14.2857,"Singapore ","The attitude of the manager in charge of maria reception ",12,"Location",2,8.5,6.3,1,91,1
"215259",215271,"Mimi s Hotel Soho","GB","London",51.5140329,-0.1320651,"138","5200","20600","NULL","Couple","Leisure trip","2",20170313,"143 day",0,0,687,0,12.5,"United Kingdom ","The room wasn t big enough to swing a cat in I had to leave the room whilst my partner got dressed and likewise for myself ",28,"Fantastic location ",4,8.3,5.8,1,125,1
"111279",111291,"Hotel Chavanel","FR","Paris",48.8721692,2.3262681,"95","3100","29400","Classic","Couple","Leisure trip","4",20150818,"716 day",0,0,130,0,44.7368,"United Kingdom ","The isolation is not very good You can hear people talking next door But the rest are all good ",21,"location is fantastic and the staff is very helpful We didn t try their breakfast ",17,8.7,10,14,12,1
"22632",22644,"W London Leicester Square","GB","London",51.510843,-0.1314287,"181","5200","20600","NULL","Couple","Leisure trip","1",20170308,"148 day",0,0,863,0,5.71429,"United Kingdom ","Being kept awake until 3 30 in the morning with music banging out from the hotel lounge Manager Drew thought it was funny and didn t want to help in anyway ",33,"Location",2,8.4,4.6,1,255,0
"441634",441646,"Copthorne Tara Hotel London Kensington","GB","London",51.499046,-0.1917073,"4","1100","10900","Superior","Family with young children","Leisure trip","1",20160915,"322 day",0,0,7105,0,20,"United Kingdom ","I d booked twin as I was travelling with my 13yr old daughter by could only have a small double when I checked in Not appropriate and very uncomfortable The queue for breakfast was ridiculous",36,"Lovely lobby plenty of choice at breakfast ",9,8.1,4.2,2,1831,1
"356290",356302,"The Toren","NL","Amsterdam",52.3758754,4.8859642,"8","2900","9400","Deluxe","Couple","Leisure trip","3",20170219,"165 day",0,0,948,1,88,"Canada ","Nothing ",3,"Everything is spectacular way above the levels Staff are amazing The room was so elegant has a modern spa bathroom ",22,9.4,10,4,197,1
"172207",172219,"Millennium Gloucester Hotel London","GB","London",51.4935083,-0.1834346,"21","813","13600","Standard","Couple","Leisure trip","3",20160823,"345 day",0,0,5726,0,9.69697,"United Kingdom ","Allocated room was not cleaned and prepared for us once we got to the room But staff were very apologetic and upgraded our room to a club room immediately for the incovenience Also booked through booking com and paid for breakfast for our 3 day stay Booking com failed to alert the hotel to this Once i had recognised we were being charged again for breakfast alerted this to reception They said this hapoems with booking com from time to time where they pocket the extra and put it down as a room only as the full price you had paid They were very understanding and just added it to our booking immediately and without question Rooms are in need of updating and tidying up a little But at 95 per room per night for the hotel with its good location is very much value for money ",149,"Staff were very accomodating had a few issues which were solved quickly and proffesionaly ",16,7.8,7.5,3,1444,1
"273107",273119,"Element Amsterdam","NL","Amsterdam",52.3312406,4.8774466,"23","198","9100","Superior","Couple","Leisure trip","3",20160503,"457 day",0,0,1369,1,100,"Iran ","No Negative",0,"Polite and nuce staff at front desk",8,8.9,10,10,161,1
"32424",32436,"Shepherd s Bush Boutique Hotel","GB","London",51.5054544,-0.2262216,"17","725","7100","NULL","Family with young children","Leisure trip","1",20170503,"92 days",0,0,1069,1,100,"United Kingdom ","No Negative",0,"Very close to Westfield shopping centre very large shower ",11,8,8.3,2,227,1
"249584",249596,"Novotel Paris Les Halles","FR","Paris",48.8607299,2.3465326,"73","5400","29800","Family","Family with young children","Leisure trip","3",20170502,"93 days",0,0,2398,1,55.6962,"United Kingdom ","The central location meant that it was extremely noisy after midnight From our room we could hear drunk people shouting and singing in the streets and we were kept awake between 1 2am ",35,"The public transport links are excellent although we were able to walk easily to most tourist attractions We loved the breakfast brioche buns and Madeline cakes The receptionist gave the kids a Novotel soft toy on arrival which was a nice touch ",44,8.4,9.2,1,245,1
"183625",183637,"St James Court A Taj Hotel London","GB","London",51.4986732,-0.1376867,"23","2900","20400","Classic","Couple","Leisure trip","1",20160331,"490 day",0,0,5394,1,92.3077,"United Kingdom ","Nothing ",3,"The service was amazing nothing too much trouble the room was small but had ever thing you need nice touch with the bottled water loved the piano man in the bar would stay again ",36,8.7,10,4,1299,1
"104632",104644,"Mercure Paris Terminus Nord","FR","Paris",48.8794843,2.3556545,"35","2400","28500","Standard","Solo traveler","Leisure trip","1",20160821,"347 day",0,0,5575,1,86.1111,"United Kingdom ","No real complaints ",5,"My single room was small carpet a bit stained or worn but it was clean and comfortable and good value for money in convenient location opposite Gare Du Nord ",31,7.4,7.1,1,740,0
"351086",351098,"Mercure Josefshof Wien","AT","Vienna",48.2085627,16.3541687,"54","2200","10300","Privilege","Family with young children","Leisure trip","3",20170414,"111 day",0,0,2526,0,5.37634,"Kuwait ","1 The hotel didn t provide the type of room I booked two privilege rooms 2 reported the matter to the front desk and no one contacted me back 3 the privilege room is very small and cannot fit two persons with their luggages the size is smaller than 200sqf 4 the quality of coffee capsules provided in the room is awful and not at all drinkable 5 no hangers to hang The towels in the bathroom 6 very small closet and not enough for a couple",88,"The location is convenient",5,8.3,5.8,69,227,1
"255306",255318,"La Clef Tour Eiffel","FR","Paris",48.8647019,2.2886425,"29","1200","15800","NULL","Couple","Business trip","7",20151006,"667 day",0,0,1258,0,13.3333,"United States of America ","Housekeeping room dirty at checking Housekeeping left the door open all afternoon",13,"Location",2,9,8.3,1,190,1
"64046",64058,"Britannia International Hotel Canary Wharf","GB","London",51.5019097,-0.0232208,"7","447","4700","Standard","Group","Leisure trip","1",20170628,"36 days",0,0,9086,0,37.931,"United Kingdom ","The air con in our room was broken on the hottest day of the year we were unable to open the windows fans were provided but they only succeeded in pushing hot air around The extractor fan in the bathroom didn t work at all and we ended up sleeping with the door open as the air con was working in the corridors I don t think we would stay again",72,"The Location of the hotel was great easy access to the underground lots of bars and eateries nearby The breakfast was good there was quite a lot of choice and the view over the water while eating a cooked brekkie was great ",44,7.1,5.4,1,2682,0
"174752",174764,"K K H tel Cayr Saint Germain des Pr s","FR","Paris",48.8553117,2.3254628,"48","2500","29300","Classic","Solo traveler","Business trip","5",20170430,"95 days",0,0,1431,1,100,"South Korea ","No Negative",0,"The employees were kind ",6,8.4,9.6,8,194,1
"513317",513329,"Holiday Inn London Kensington","GB","London",51.499981,-0.1928791,"29","1100","10600","Standard","Couple","Leisure trip","1",20160721,"378 day",0,0,5945,0,11.6279,"United Kingdom ","The room was tiny Seemed like most of the money was used on the lobby and when u entered the room it was a bir of a shock Rooms were tiny decor was really old fashioned ",38,"The bed was comfy",5,7.8,8.8,3,1172,1
"436308",436320,"Crowne Plaza London Docklands","GB","London",51.5083537,0.0198855,"9","106","3000","NULL","Couple","Leisure trip","1",20160801,"367 day",0,0,2768,1,54.1667,"United Kingdom ","Wish I d informed at booking I was a wheelchair user disabled as room was a long way from the lift",22,"As a wheelchair user found it very easy to manoeuvre around the hotel The breakfast was superb The room was a nice size clean comfortable",26,8.8,7.5,2,879,1
"9304",9316,"Grand Royale London Hyde Park","GB","London",51.5109945,-0.1863417,"36","964","12400","NULL","Couple","Leisure trip","1",20160219,"531 day",0,0,6539,1,67.0103,"United Kingdom ","The only thing that could have been better was the floor in the room was incredibly loud when we walked on it Other than that we had a fantastic time ",32,"Staff were fantastic brought when bag up to my room The bedroom was beautiful small but just what e wanted The lobby was a beautiful old Victorian style that I couldn t keep my eyes off of The hotel was close to restaurants and the tube and just steps for Kensington gardens that are beautiful to walk through I would stay there again ",65,7.7,9.6,1,1274,1
"27325",27337,"The Grosvenor","GB","London",51.4956657,-0.1452793,"51","1300","20200","NULL","Group","Leisure trip","1",20161001,"306 day",1,1,3274,1,68.4211,"United Kingdom ","Nothing I didn t like",6,"The hotel was in a fabulous location for getting around London ",13,8.4,9.2,1,838,1
"145710",145722,"Grange Langham Court Hotel","GB","London",51.5189077,-0.1421957,"50","3800","20100","NULL","Couple","Leisure trip","3",20161213,"233 day",0,0,754,1,71.4286,"Italy ","Yhe room a bit too small ",8,"Small room but cosy Position is great quiet though near busy Oxford street Nice pubs and restaurants near there",20,7.9,9.2,9,146,1
"63323",63335,"Hotel Xenia Autograph Collection","GB","London",51.4946905,-0.1910197,"15","956","11100","NULL","Solo traveler","Leisure trip","1",20170530,"65 days",0,0,682,1,100,"United States of America ","No Negative",0,"Boutique style hotel with all the modern comforts Extremely friendly and attentive staff only stayed one night but was so pleasantly surprised with this hotel that I will book again for my 10 day stay in August ",39,9,10,3,148,1
"90735",90747,"Novotel Paris Gare De Lyon","FR","Paris",48.8453785,2.3753036,"33","2000","23800","Superior","Family with older children","Leisure trip","2",20160630,"399 day",0,0,3583,0,44.4444,"United Kingdom ","I would have liked a much comfortable mattress ",10,"Conveniently located and very helpful staff ",8,8.5,9.2,1,353,0
"492157",492169,"NH Milano Touring","IT","Milan",45.4769167,9.196665,"4","1500","10800","NULL","Couple","Leisure trip","3",20160826,"342 day",0,0,4568,1,61.7647,"China ","The room is too small and no any 7 11s nearby ",13,"About 4 or 5 railway stops from the church the room is pretty quiet and the breakfest is various ",21,8.4,9.2,4,436,1
"97551",97563,"citizenM London Bankside","GB","London",51.5051507,-0.1004724,"16","1300","20500","NULL","Group","Leisure trip","1",20151210,"602 day",0,0,3802,1,100,"Hungary ","No Negative",0,"Went for location liked innovative features",7,9.1,9.6,5,804,0
"257343",257355,"Adria Boutique Hotel","GB","London",51.4933372,-0.1788931,"7","717","15200","Deluxe","Family with young children","Leisure trip","3",20170717,"17 days",0,0,478,1,100,"Taiwan ","No Negative",0,"Chic design and quality furniture and material Elegant and subtle butler service and staff Soft drinks complimentary Spacial bathroom Tranquil neat convenient and safe neighborhood ",27,8.8,10,8,92,1
"267804",267816,"Corendon Vitality Hotel Amsterdam","NL","Amsterdam",52.3466449,4.8310984,"5","56","2500","Standard","Couple","Leisure trip","1",20160802,"366 day",0,0,4410,0,26.087,"United Kingdom ","The bed in the room were not joined together and I felt down between the beds",17,"The staff were very impressed",6,8.4,5.8,2,555,1
"223042",223054,"DoubleTree by Hilton London Islington","GB","London",51.5322508,-0.1095714,"45","1700","21700","NULL","Group","Leisure trip","2",20160628,"401 day",0,0,2277,1,100,"United Kingdom ","No Negative",0,"Location Tea coffee water complimentary",6,8.6,10,1,685,1
"149779",149791,"Park Grand London Kensington","GB","London",51.4938468,-0.1917582,"23","915","10900","NULL","Solo traveler","Leisure trip","1",20160301,"520 day",0,0,4660,0,34.1463,"Canada ","Had a room that was underground it wouldnt stop me going back as it was a nice room but I wasnt expecting to have no window",27,"Bed was comfortable free upgrade I thought the breakfast was pretty good too",14,8.4,8.3,61,989,0
"240114",240126,"Hotel Ares Eiffel","FR","Paris",48.8503276,2.2982022,"23","1400","20100","NULL","Couple","Business trip","2",20161120,"256 day",0,0,667,0,50,"United Kingdom ","Breakfast expensive at 18 pp ",7,"Location for all things Paris ",7,8.8,9.2,28,103,1
"92070",92082,"Park Lane Mews Hotel","GB","London",51.5059334,-0.1489418,"10","2500","19900","NULL","Couple","Leisure trip","2",20170518,"77 days",0,0,2061,0,18.75,"United Kingdom ","The reception service was very poor with lots of mistakes made ",13,"Nice place",3,7,6.3,1,444,1
"336743",336755,"Alma Boutique Hotel","AT","Vienna",48.2112491,16.3776519,"64","2100","10100","NULL","Solo traveler","Leisure trip","3",20161214,"232 day",0,0,730,1,86.6667,"Thailand ","nothing",2,"Staff is very helpful and good location just distance from old town",13,8.7,9.6,73,78,0
"292978",292990,"Hotel Best Western PLUS Alfa Aeropuerto","ES","El Prat de Llobregat",41.3283758,2.1129638,"0","10","2500","NULL","Solo traveler","Leisure trip","1",20170716,"18 days",0,0,2521,0,34.8837,"United Kingdom ","I didn t like the fact that when I jumped in the shower there was no body gel shampoo As I emailed and called that I was doing an early checked in I had to call reception twice for it to arrive The window was shut but I killed 3 mosquitoes during my stay ",56,"I really really liked the bathroom the design was marbellous The bed was quiet comfortable I found a walking distance market where to eat good and relatively cheap ",30,7.8,6.3,1,258,1
"142022",142034,"Blakemore Hyde Park","GB","London",51.5129736,-0.1837431,"18","868","13300","NULL","Family with young children","Leisure trip","5",20170301,"155 day",0,0,6596,1,66.6667,"Kuwait ","Wifi poor",3,"The clean and the staff",6,8.5,10,10,1198,1
"162368",162380,"Great St Helen Hotel","GB","London",51.5149583,-0.0823869,"24","2600","15000","NULL","Group","Leisure trip","1",20160915,"322 day",0,0,1328,0,48.4536,"United Kingdom ","We were not informed that there was a huge noisy building site next door The photos of the hotel or information on website did not indicate how cramped the rooms would be The receptionist during the day was very efficient helpful and polite the night staff were not ",50,"I found the bed very hard but the room had everything we needed for an convenient overnight stay and we were only 4 mins walk away from the dinner at Merchant Taylors Hall which we there to attend Very clean nice linen Good value hotel ",47,7.4,6.7,1,264,0
"214186",214198,"Shaftesbury Premier London Paddington","GB","Paddington",51.5153672,-0.1783271,"12","660","15100","NULL","Solo traveler","Business trip","2",20161214,"232 day",0,0,3609,1,62.5,"Italy ","All ok",3,"Good value for money",5,7.3,7.1,27,791,1
"393533",393545,"Luxury Suites Amsterdam","NL","Amsterdam",52.3702613,4.9032489,"10","1900","9300","Business","Group","Business trip","1",20160806,"362 day",0,0,720,1,100,"United Kingdom ","No Negative",0,"Very friendly staff with great facility and location ",10,9.3,9.6,1,125,1
"469065",469077,"H10 Cubik 4 Sup","ES","Barcelona",41.388024,2.1731556,"45","4200","13800","Classic","Solo traveler","Business trip","1",20170308,"148 day",0,0,1398,1,76.1905,"Ireland ","Nothing negative to report",5,"Good breakfast buffet selection excellent Very friendly and helpful staff Quiet and relaxed by night",16,9.3,10,5,206,1
"18867",18879,"The Nadler Soho","GB","London",51.5147387,-0.1341108,"96","5000","20500","NULL","Couple","Leisure trip","1",20151215,"597 day",0,0,1394,1,100,"United Kingdom ","No Negative",0,"The friendliness and helpfulness of the staff in reception",10,9,9.6,1,329,1
"332218",332230,"Hotel Palace GL","ES","Barcelona",41.3916258,2.1716378,"22","4100","13900","NULL","Couple","Leisure trip","2",20160110,"571 day",0,0,1266,1,100,"Romania ","No Negative",0,"From A to Z it was an amazing experience",10,9.4,9.6,9,195,1
"148818",148830,"Acad mie H tel Saint Germain","FR","Paris",48.855263,2.3305901,"34","3300","30000","Standard","Solo traveler","Leisure trip","1",20161024,"283 day",0,0,855,0,25,"Ireland ","Room was compact fine for sleeping but not for hanging around in fairness you shouldn t be hanging around in a hotel room in the city of paris ",30,"location was central staff were very friendly safety concious",10,9,9.2,1,106,0
"91414",91426,"The Trafalgar Hilton","GB","London",51.507374,-0.129135,"21","4800","20600","Deluxe","Family with older children","Leisure trip","3",20160724,"375 day",1,1,784,1,100,"Australia ","No Negative",0,"Location is perfect",4,8.1,9.6,1,169,1
"202931",202943,"Holiday Inn Paris Gare de l Est","FR","Paris",48.8758981,2.3590504,"37","2700","28400","NULL","Family with young children","Leisure trip","1",20161230,"216 day",0,0,6511,1,100,"Germany ","No Negative",0,"Location is perfect The staff is really friendly and helpful ",12,7.9,10,3,710,1
"286523",286535,"Hotel Pulitzer","ES","Barcelona",41.386136,2.1682914,"56","4200","14000","NULL","Solo traveler","Leisure trip","6",20170108,"207 day",0,0,1746,0,23.2143,"Australia ","free wifi was great but did drop in and out Also a fair bit of noise from the hallway could be heard in the room of an evening that may be because of the kids running up and down the hall ",43,"Great central location with easy access to all the tourist spots ",13,8.8,9.2,11,256,1
"165014",165026,"Strand Palace Hotel","GB","London",51.5110993,-0.1208673,"76","3300","21400","NULL","Solo traveler","Leisure trip","1",20160817,"351 day",0,0,9568,1,56.6667,"United Kingdom ","Staff were clearly over stretched and a little rushed and impatient ",13,"I liked the bath robes and slippers the little extras and the excellent level of cleanliness",17,8.1,8.3,19,2288,1
"39112",39124,"Best Western Mornington Hotel Hyde Park","GB","Paddington",51.5119933,-0.1782794,"19","729","15100","NULL","Solo traveler","Business trip","3",20160730,"369 day",0,0,2418,1,58.3333,"China ","room is too small",5,"the room is too small ",7,8,5.4,1,440,0
