"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"Silken Gran Hotel Havana","España","Barcelona",41.3927101,2.1722139,"44","122","39","Other","Couple","Leisure trip",3,2016-12-20,226,"No","No",1354,"No",0,"United Kingdom ",8.5,9.2,3,156,"No"
"Grand Hotel et de Milan","Italia","Milan",45.4699058,9.1925024,"50","55","10","Business","Solo traveler","Business trip",1,2017-05-12,83,"No","No",451,"Yes",100,"Lebanon ",9.1,10,55,65,"No"
"The Cumberland A Guoman Hotel","Gran Bretaña","London",51.514879,-0.1606501,"61","5","87","Deluxe","Solo traveler","Leisure trip",4,2016-07-13,386,"No","No",5180,"No",11.5385,"Israel ",7.5,10,6,1190,"No"
"AZIMUT Hotel Vienna","Austria","Vienna",48.1834787,16.3762765,"25","133","239","Standard","Solo traveler","Business trip",2,2016-03-06,515,"No","No",1060,"No",13.6364,"Indonesia ",8.2,6.7,44,102,"Yes"
"The Rembrandt","Gran Bretaña","London",51.4959227,-0.1702917,"84","274","73","Other","Couple","Leisure trip",7,2016-06-28,401,"No","No",1802,"Yes",77.2727,"Cyprus ",8.5,9.2,1,421,"Yes"
"Holiday Inn London Kensington","Gran Bretaña","London",51.499981,-0.1928791,"50","5","7","Standard","Solo traveler","Leisure trip",2,2017-05-07,88,"No","No",5945,"No",0,"United States of America ",7.8,4.2,1,1172,"Yes"
"Durrants Hotel","Gran Bretaña","London",51.5179386,-0.1529794,"35","41","93","Other","Group","Leisure trip",1,2016-07-20,379,"No","No",1411,"Yes",84.6154,"United Kingdom ",8.1,10,2,353,"Yes"
"St James Court A Taj Hotel London","Gran Bretaña","London",51.4986732,-0.1376867,"41","91","101","Classic","Group","Leisure trip",3,2016-12-05,241,"No","No",5394,"No",33.8983,"South Africa ",8.7,9.2,9,1299,"Yes"
"Melia White House Hotel","Gran Bretaña","London",51.5298597,-0.1444623,"36","55","95","Classic","Couple","Couple",1,2017-02-12,172,"No","No",1871,"Yes",100,"United Kingdom ",8.3,9.2,4,354,"No"
"Strand Palace Hotel","Gran Bretaña","London",51.5110993,-0.1208673,"102","105","111","Other","Couple","Leisure trip",1,2016-12-25,221,"No","No",9568,"No",0,"United Kingdom ",8.1,6.7,1,2288,"No"
"Mayflower Hotel Apartments","Gran Bretaña","London",51.4916677,-0.1947475,"49","287","7","Other","Couple","Leisure trip",3,2016-10-10,297,"No","No",2197,"No",16.6667,"United Kingdom ",7.5,7.9,2,328,"Yes"
"The RE London Shoreditch","Gran Bretaña","London",51.531979,-0.061598,"62","245","7","Other","Solo traveler","Leisure trip",2,2017-05-07,88,"No","No",2147,"Yes",100,"United States of America ",7.8,9.6,4,688,"Yes"
"Brunelleschi Hotel","Italia","Milan",45.461177,9.191047,"39","50","9","Other","Couple","Leisure trip",1,2016-11-28,248,"No","No",3720,"Yes",100,"United Kingdom ",8.3,9.2,10,311,"Yes"
"Charlotte Street Hotel","Gran Bretaña","London",51.5184158,-0.1348509,"5","158","102","Deluxe","Couple","Leisure trip",2,2015-11-15,627,"No","No",319,"No",32.6087,"United Kingdom ",9.5,9.6,15,88,"No"
"NH Collection Barcelona Constanza","España","Barcelona",41.3885274,2.1360471,"39","317","21","Other","Couple","Leisure trip",4,2016-09-01,336,"No","No",1542,"Yes",51.8519,"United Kingdom ",8.7,8.3,10,109,"No"
"Hilton Vienna","Austria","Vienna",48.2062268,16.3833767,"32","24","238","Family","Family","Leisure trip",2,2016-11-24,252,"No","No",3078,"No",33.3333,"Brazil ",8,7.1,5,374,"Yes"
"K K Hotel Maria Theresia","Austria","Vienna",48.2031622,16.3561999,"81","65","5","Classic","Couple","Leisure trip",3,2017-06-03,61,"No","No",3181,"Yes",60,"United Kingdom ",8.7,9.6,7,285,"No"
"The Marylebone Hotel","Gran Bretaña","London",51.5180207,-0.1500567,"82","60","93","Other","Couple","Leisure trip",2,2016-03-06,515,"No","No",1738,"Yes",100,"United Kingdom ",8.9,9.2,5,411,"Yes"
"Mondrian London","Gran Bretaña","London",51.5084036,-0.1067988,"11","29","112","Other","Family","Leisure trip",1,2016-12-15,231,"No","No",3611,"No",3.48837,"United Kingdom ",9.1,3.8,2,1100,"No"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Other","Couple","Leisure trip",2,2015-10-18,655,"No","No",5726,"Yes",100,"United Kingdom ",7.8,8.3,18,1444,"Yes"
"88 Studios","Gran Bretaña","London",51.4992789,-0.2090733,"51","108","227","Classic","Couple","Leisure trip",1,2017-05-06,89,"No","No",955,"Yes",100,"Taiwan ",8.4,10,3,197,"No"
"Best Western Palm Hotel","Gran Bretaña","London",51.5634756,-0.2042758,"2","56","216","Other","Group","Leisure trip",2,2017-06-18,46,"No","No",2037,"Yes",100,"United Kingdom ",7.9,10,2,471,"Yes"
"INK Hotel Amsterdam MGallery by Sofitel","Holanda","Amsterdam",52.3754926,4.8929878,"93","106","237","Deluxe","Group","Leisure trip",3,2016-07-31,368,"No","No",2574,"No",15.9292,"United States of America ",8.9,8.8,2,440,"Yes"
"Boscolo Milano Autograph Collection","Italia","Milan",45.46676,9.194293,"35","41","9","Classic","Couple","Leisure trip",3,2017-01-03,212,"No","No",1213,"No",46.4286,"Croatia ",7.9,9.6,1,122,"No"
"UNA Maison Milano","Italia","Milan",45.4633289,9.1884242,"78","62","9","Other","Couple","Leisure trip",2,2016-01-23,558,"No","No",1108,"No",31.9149,"Kuwait ",9.3,8.3,7,133,"Yes"
"The Royal Horseguards","Gran Bretaña","London",51.5054185,-0.1241499,"116","120","109","Other","Couple","Leisure trip",1,2016-06-21,408,"No","No",2007,"Yes",67.7419,"United Kingdom ",8.9,10,2,475,"Yes"
"Best Western Plus Seraphine Hammersmith Hotel","Gran Bretaña","London",51.4926269,-0.2288598,"15","188","209","Other","Solo traveler","Business trip",1,2016-01-14,567,"No","No",1717,"Yes",73.3333,"United Kingdom ",7.8,7.9,4,390,"No"
"Starhotels Echo","Italia","Milan",45.4847398,9.2072916,"11","17","2","Other","Couple","Leisure trip",2,2016-12-12,234,"No","No",3774,"Yes",72.2222,"Italy ",8.9,8.8,2,379,"Yes"
"The Royal Park Hotel","Gran Bretaña","London",51.5142054,-0.1766098,"50","214","55","Other","Group","Leisure trip",3,2017-05-06,89,"No","No",331,"Yes",93.5484,"United States of America ",8.7,10,1,47,"No"
"NH Milano Grand Hotel Verdi","Italia","Milan",45.4814923,9.192023,"3","17","10","Other","Solo traveler","Business trip",2,2016-06-03,426,"No","No",1178,"No",42.8571,"Switzerland ",8.2,6.7,1,90,"No"
"Holiday Inn London West","Gran Bretaña","London",51.5210117,-0.2628618,"51","9","188","Other","Couple","Leisure trip",3,2017-07-11,23,"Yes","No",1500,"No",0,"South Korea ",8.1,7.1,2,401,"Yes"
"H tel Hor","Francia","Paris",48.8793427,2.3577745,"47","62","157","Classic","Solo traveler","Business trip",1,2017-05-07,88,"No","No",1090,"Yes",84.4444,"Belgium ",8.6,8.8,42,161,"No"
"Club Quarters Hotel Gracechurch","Gran Bretaña","London",51.5127964,-0.0847973,"64","73","56","Other","Solo traveler","Business trip",1,2016-10-04,303,"No","No",2996,"No",47.1698,"United Kingdom ",8.2,7.9,10,764,"No"
"The Pelham Starhotels Collezione","Gran Bretaña","London",51.4943935,-0.1750169,"82","260","62","Other","Couple","Leisure trip",1,2017-06-26,38,"No","No",833,"No",40,"United Kingdom ",8.6,7.5,3,174,"Yes"
"The Montcalm At Brewery London City","Gran Bretaña","London",51.5208155,-0.0915319,"31","35","79","Other","Couple","Leisure trip",1,2016-08-31,337,"No","No",2617,"No",38.3333,"United Kingdom ",8.8,10,10,704,"No"
"Intercontinental London The O2","Gran Bretaña","London",51.5024348,-0.0002497,"2","6","182","Deluxe","Group","Leisure trip",1,2016-04-07,483,"No","No",4204,"No",30.7692,"United Kingdom ",9.4,10,4,1258,"Yes"
"The Grand at Trafalgar Square","Gran Bretaña","London",51.506935,-0.126012,"63","132","106","Other","Solo traveler","Business trip",1,2016-06-26,403,"No","No",1592,"No",16.6667,"Malta ",8.3,7.5,26,409,"Yes"
"WestCord Fashion Hotel Amsterdam","Holanda","Amsterdam",52.357655,4.844576,"62","68","196","Other","Couple","Leisure trip",2,2017-01-10,205,"No","No",5236,"Yes",82.1429,"United Kingdom ",8.7,9.6,3,757,"Yes"
"Hotel mbit Barcelona","España","Barcelona",41.3907821,2.1717426,"44","136","39","Other","Solo traveler","Leisure trip",5,2017-07-17,17,"No","No",1498,"Yes",70,"Greece ",8.9,9.2,6,127,"No"
"Uptown Palace","Italia","Milan",45.4574655,9.1919138,"37","35","9","Other","Couple","Leisure trip",2,2017-06-03,61,"No","No",2901,"No",27.5862,"United Kingdom ",8.5,9.6,3,325,"Yes"
"Flemings Mayfair","Gran Bretaña","London",51.5064607,-0.1454198,"68","94","97","Other","Couple","Business trip",1,2017-07-09,25,"No","No",1161,"No",0,"Switzerland ",8.7,4.6,13,289,"Yes"
"Starhotels Ritz","Italia","Milan",45.4779041,9.2094965,"59","24","241","Other","Couple","Leisure trip",3,2017-07-12,22,"No","No",4248,"Yes",76.8293,"United Kingdom ",8.1,9.2,13,353,"Yes"
"Aloft London Excel","Gran Bretaña","London",51.5083719,0.0355768,"36","150","128","Other","Couple","Leisure trip",1,2016-01-26,555,"No","No",2332,"Yes",77.1429,"United Kingdom ",8.7,10,3,694,"Yes"
"Radisson Blu Edwardian Berkshire","Gran Bretaña","London",51.5146025,-0.1481978,"102","67","94","Other","Couple","Leisure trip",2,2016-11-22,254,"No","No",1600,"Yes",74.5098,"Norway ",8.1,8.3,6,252,"No"
"Senator Barcelona Spa Hotel","España","Barcelona",41.3777977,2.1135971,"2","54","201","Other","Couple","Couple",8,2017-04-28,97,"No","No",3097,"No",13.6364,"Switzerland ",7.7,7.9,2,298,"Yes"
"The Queens Gate Hotel","Gran Bretaña","London",51.4981225,-0.1799693,"95","268","47","Family","Family","Leisure trip",5,2017-04-01,124,"No","No",2516,"Yes",63.1579,"Hungary ",8.2,9.2,8,524,"No"
"The Nadler Victoria","Gran Bretaña","London",51.4990259,-0.1427453,"31","77","99","Standard","Couple","Leisure trip",2,2017-08-02,1,"No","No",1608,"No",28.5714,"Ireland ",9.3,9.2,4,303,"Yes"
"The Gates Diagonal Barcelona","España","Barcelona",41.4036219,2.1902808,"95","196","25","Other","Solo traveler","Leisure trip",5,2016-06-21,408,"No","No",1725,"No",5.66038,"United Kingdom ",8,7.1,1,144,"Yes"
"H tel La Parizienne by Elegancia","Francia","Paris",48.8450894,2.3209503,"54","50","159","Other","Couple","Leisure trip",5,2016-07-30,369,"No","No",672,"Yes",100,"Iran ",8.5,8.8,1,52,"Yes"
"Best Western Premier Hotel Couture","Holanda","Amsterdam",52.3511137,4.8411629,"2","15","189","Other","Group","Leisure trip",2,2016-06-14,415,"No","No",8177,"No",48.2143,"United Kingdom ",8.7,9.2,3,947,"Yes"
"Crowne Plaza London Battersea","Gran Bretaña","London",51.4689559,-0.1787256,"116","83","42","Deluxe","Couple","Couple",1,2016-08-17,351,"No","No",1071,"No",25.9259,"United Kingdom ",8.8,9.2,23,301,"Yes"
"Leonardo Hotel Vienna","Austria","Vienna",48.1945297,16.340327,"3","2","239","Other","Group","Leisure trip",2,2016-06-14,415,"No","No",6373,"Yes",60,"Germany ",8.1,9.2,13,387,"No"
"TWO Hotel Barcelona by Axel 4 Sup Adults Only","España","Barcelona",41.37913,2.1561186,"48","62","38","Other","Couple","Leisure trip",3,2015-12-03,609,"No","No",2336,"Yes",100,"South Korea ",8.8,10,4,185,"Yes"
"Hilton London Wembley","Gran Bretaña","London",51.5576962,-0.2835263,"11","181","152","Other","Solo traveler","Business trip",1,2015-10-11,662,"No","No",4305,"No",31.25,"United Kingdom ",8.8,7.1,12,1427,"No"
"Rubens At The Palace","Gran Bretaña","London",51.4981471,-0.1436492,"61","47","99","Classic","Couple","Leisure trip",4,2017-02-03,181,"No","No",1449,"Yes",92,"Spain ",8.7,10,20,332,"Yes"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Standard","Couple","Leisure trip",1,2015-11-01,641,"No","No",9086,"No",40.678,"United Kingdom ",7.1,7.5,1,2682,"Yes"
"The Marble Arch London","Gran Bretaña","London",51.5151247,-0.1600656,"42","12","87","Other","Group","Leisure trip",2,2016-07-07,392,"No","No",1567,"No",43.9024,"Guernsey ",8.1,10,2,365,"Yes"
"Grange Wellington Hotel","Gran Bretaña","London",51.4944319,-0.1363756,"20","17","101","Other","Couple","Leisure trip",4,2016-01-24,557,"No","No",1268,"No",34.0909,"United Kingdom ",8.8,10,1,256,"Yes"
"Crowne Plaza London Ealing","Gran Bretaña","London",51.5403942,-0.3697581,"1","84","60","Other","Couple","Leisure trip",2,2017-03-03,153,"No","No",944,"Yes",78.2609,"United Kingdom ",8.5,8.3,2,335,"No"
"DoubleTree by Hilton London West End","Gran Bretaña","London",51.5201065,-0.1221393,"72","111","111","Other","Group","Leisure trip",2,2017-07-10,24,"No","No",1774,"No",9.09091,"United Kingdom ",8.3,7.1,1,429,"Yes"
"Hotel SB Diagonal Zero Barcelona 4 Sup","España","Barcelona",41.4111652,2.2192012,"95","26","192","Other","Solo traveler","Business trip",3,2017-05-12,83,"No","No",4645,"Yes",94.0476,"Spain ",8.2,10,14,488,"Yes"
"London Suites","Gran Bretaña","London",51.5215508,-0.0469238,"33","90","231","Classic","Couple","Leisure trip",1,2017-08-02,1,"No","No",259,"No",46.4286,"United Kingdom ",7.4,6.5,1,44,"Yes"
"My Bloomsbury","Gran Bretaña","London",51.5188555,-0.1319172,"65","169","104","Other","Couple","Leisure trip",1,2017-06-07,57,"No","No",1161,"No",5.88235,"United Kingdom ",8.1,3.8,57,253,"No"
"Catalonia Passeig de Gr cia 4 Sup","España","Barcelona",41.3901396,2.1696699,"48","136","39","Other","Family","Leisure trip",3,2016-07-24,375,"Yes","Yes",2116,"Yes",91.4286,"United Kingdom ",9.2,9.6,2,257,"Yes"
"De Vere Devonport House","Gran Bretaña","London",51.480672,-0.0071375,"95","80","185","Other","Couple","Leisure trip",1,2016-07-11,388,"No","No",1827,"No",50,"United Kingdom ",8.2,9.2,1,484,"No"
"Acad mie H tel Saint Germain","Francia","Paris",48.855263,2.3305901,"56","105","175","Standard","Couple","Leisure trip",1,2016-01-08,573,"No","No",855,"No",36,"Australia ",9,7.9,17,106,"No"
"H10 Port Vell 4 Sup","España","Barcelona",41.3815625,2.1838458,"42","62","30","Other","Couple","Leisure trip",2,2017-04-05,120,"No","No",1261,"Yes",100,"United Kingdom ",9.2,10,1,146,"Yes"
"Catalonia Atenas","España","Barcelona",41.4110056,2.1866009,"84","203","29","Other","Couple","Leisure trip",2,2015-12-31,581,"No","No",6792,"No",48.7805,"United Kingdom ",7.9,9.2,1,541,"Yes"
"Ozo Hotel","Holanda","Amsterdam",52.3047669,4.9476868,"2","33","96","Other","Couple","Leisure trip",2,2017-03-20,136,"No","No",3383,"No",0,"United Kingdom ",7.6,7.5,1,278,"Yes"
"Club Quarters Hotel Gracechurch","Gran Bretaña","London",51.5127964,-0.0847973,"64","73","56","Other","Group","Leisure trip",1,2017-06-05,59,"No","No",2996,"No",32.7273,"United Kingdom ",8.2,7.5,1,764,"Yes"
"Hotel SB Diagonal Zero Barcelona 4 Sup","España","Barcelona",41.4111652,2.2192012,"95","26","192","Other","Couple","Leisure trip",3,2016-08-09,359,"No","No",4645,"No",10.3261,"United Kingdom ",8.2,4.6,3,488,"No"
"Silken Ramblas","España","Barcelona",41.3830117,2.1700699,"102","132","39","Other","Couple","Leisure trip",3,2015-10-08,665,"No","No",1949,"No",47.3684,"Australia ",7.9,8.8,11,184,"Yes"
"Amadi Panorama Hotel","Holanda","Amsterdam",52.3588806,4.9886041,"73","146","193","Other","Solo traveler","Leisure trip",3,2015-08-19,715,"No","No",2586,"Yes",78.5714,"United Kingdom ",8.4,7.9,7,253,"Yes"
"The Langham London","Gran Bretaña","London",51.517876,-0.1440647,"33","111","97","Other","Couple","Leisure trip",1,2016-05-27,433,"No","No",1276,"Yes",66.9528,"United Kingdom ",9.3,10,6,375,"No"
"H tel Concorde Montparnasse","Francia","Paris",48.8381079,2.318669,"11","35","153","Classic","Couple","Leisure trip",1,2016-07-26,373,"No","No",2515,"No",4.20168,"France ",7.9,5.8,8,228,"No"
"Starhotels Ritz","Italia","Milan",45.4779041,9.2094965,"59","24","241","Other","Solo traveler","Business trip",2,2016-09-07,330,"No","No",4248,"No",22.2222,"United Kingdom ",8.1,3.3,44,353,"No"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Solo traveler","Business trip",3,2016-03-20,501,"No","No",6539,"No",31.746,"Italy ",7.7,7.1,20,1274,"No"
"Mercure Paris Centre Tour Eiffel","Francia","Paris",48.8548641,2.2923181,"95","17","72","Standard","Solo traveler","Business trip",1,2015-11-18,624,"No","No",2611,"Yes",57.5221,"Poland ",8,8.8,33,333,"No"
"De Vere Devonport House","Gran Bretaña","London",51.480672,-0.0071375,"95","80","185","Other","Couple","Couple",3,2015-10-06,667,"No","No",1827,"No",26.4151,"Ireland ",8.2,7.1,1,484,"No"
"INK Hotel Amsterdam MGallery by Sofitel","Holanda","Amsterdam",52.3754926,4.8929878,"93","106","237","Deluxe","Couple","Leisure trip",2,2016-10-10,297,"No","No",2574,"No",40.7407,"United Kingdom ",8.9,9.2,4,440,"Yes"
"The Cumberland A Guoman Hotel","Gran Bretaña","London",51.514879,-0.1606501,"61","5","87","Deluxe","Group","Leisure trip",1,2015-11-21,621,"No","No",5180,"No",0,"United Kingdom ",7.5,3.8,3,1190,"Yes"
"citizenM Tower of London","Gran Bretaña","London",51.510237,-0.0764428,"38","55","30","Other","Solo traveler","Leisure trip",3,2016-09-20,317,"No","No",4672,"No",43.4211,"Poland ",9.1,7.9,22,832,"No"
"Hotel Op ra Richepanse","Francia","Paris",48.8686931,2.325211,"92","82","167","Deluxe","Solo traveler","Business trip",3,2016-04-18,472,"No","No",1073,"Yes",100,"Serbia ",9.2,9.6,3,127,"No"
"Hilton London Paddington","Gran Bretaña","London",51.515632,-0.175737,"75","204","57","Other","Solo traveler","Leisure trip",1,2017-08-03,0,"No","No",2898,"No",33.3333,"United Kingdom ",8.2,6.3,1,687,"Yes"
"Rosewood London","Gran Bretaña","London",51.5173303,-0.1180966,"52","91","115","Deluxe","Couple","Leisure trip",3,2017-07-18,16,"No","No",1008,"Yes",100,"United States of America ",9.4,10,3,256,"Yes"
"The Yard Milano","Italia","Milan",45.453152,9.179172,"50","41","6","Family","Family","Leisure trip",2,2015-08-30,704,"No","No",786,"No",20.8333,"United Arab Emirates ",9.2,6.3,5,103,"Yes"
"Montcalm Royal London House City of London","Gran Bretaña","London",51.5218066,-0.0856081,"33","62","59","Other","Solo traveler","Leisure trip",1,2017-02-10,174,"No","No",1592,"Yes",80,"United Kingdom ",9.2,9.6,24,461,"Yes"
"Mercure Paris Centre Tour Eiffel","Francia","Paris",48.8548641,2.2923181,"95","17","72","Standard","Group","Leisure trip",4,2017-01-23,192,"No","No",2611,"Yes",100,"Australia ",8,7.9,3,333,"Yes"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Couple","Business trip",1,2017-01-18,197,"No","No",6539,"No",0,"United Kingdom ",7.7,4.2,1,1274,"Yes"
"Novotel London Waterloo","Gran Bretaña","London",51.4948465,-0.1187481,"36","12","114","Deluxe","Family","Leisure trip",2,2016-09-02,335,"No","No",1047,"No",30,"United Kingdom ",8.2,3.3,1,176,"Yes"
"Doubletree By Hilton London Greenwich","Gran Bretaña","London",51.474469,-0.019428,"84","79","194","Other","Couple","Leisure trip",1,2016-11-01,275,"No","No",1805,"No",36,"United Kingdom ",8.8,9.6,76,487,"No"
"H tel Regina","Francia","Paris",48.8637503,2.3320406,"56","136","175","Other","Couple","Leisure trip",2,2017-02-21,163,"No","No",1329,"Yes",100,"Ireland ",9,10,3,191,"No"
"H tel Balzac","Francia","Paris",48.8732785,2.3004174,"49","55","108","Other","Solo traveler","Leisure trip",6,2016-08-18,350,"No","No",694,"No",25,"United States of America ",8.3,6.7,1,117,"Yes"
"Hotel Well and Come","España","Barcelona",41.3991773,2.1656134,"50","91","42","Other","Couple","Leisure trip",4,2016-10-07,300,"No","No",1589,"Yes",100,"United Kingdom ",9,8.3,3,161,"No"
"The Park Grand London Paddington","Gran Bretaña","London",51.5142184,-0.1809032,"25","275","43","Other","Solo traveler","Business trip",1,2016-11-10,266,"No","No",4380,"No",35.2941,"United Kingdom ",7.7,6.3,13,1058,"Yes"
"Simply Rooms Suites","Gran Bretaña","London",51.4944875,-0.2070605,"2","140","229","Classic","Family","Leisure trip",1,2016-08-01,367,"No","No",226,"No",42.8571,"United Kingdom ",7.7,7.9,2,53,"Yes"
"The Ritz Carlton Vienna","Austria","Vienna",48.2022742,16.3762615,"39","65","2","Other","Family","Family",2,2016-06-29,400,"No","No",470,"No",50,"Qatar ",8.9,10,9,77,"Yes"
"Twenty Nevern Square Hotel","Gran Bretaña","London",51.4915712,-0.1963192,"62","277","3","Other","Couple","Leisure trip",4,2015-12-13,599,"No","No",1719,"No",0,"United Kingdom ",8.3,6.7,6,305,"Yes"
"St James Court A Taj Hotel London","Gran Bretaña","London",51.4986732,-0.1376867,"41","91","101","Classic","Couple","Couple",1,2016-07-11,388,"No","No",5394,"Yes",77.1429,"United Kingdom ",8.7,10,2,1299,"Yes"
"Windsor Hotel Milano","Italia","Milan",45.4794587,9.1951427,"106","17","10","Deluxe","Couple","Leisure trip",2,2016-10-28,279,"No","No",2601,"No",0,"Australia ",8.5,7.5,18,207,"Yes"
"Hampshire Hotel Rembrandt Square Amsterdam","Holanda","Amsterdam",52.3663466,4.8985764,"47","105","237","Other","Solo traveler","Business trip",4,2016-12-05,241,"No","No",2591,"Yes",100,"United Kingdom ",7.8,10,6,520,"No"
"The Marylebone Hotel","Gran Bretaña","London",51.5180207,-0.1500567,"82","60","93","Other","Couple","Leisure trip",3,2016-04-30,460,"No","No",1738,"No",44.4444,"Switzerland ",8.9,8.3,2,411,"Yes"
"Holiday Inn London Regent s Park","Gran Bretaña","London",51.5222472,-0.1426128,"53","116","99","Other","Solo traveler","Business trip",1,2017-02-12,172,"No","No",2266,"No",0,"Spain ",8.2,6.3,2,542,"No"
"Corus Hotel Hyde Park","Gran Bretaña","London",51.5119446,-0.179939,"106","299","47","Other","Family","Leisure trip",1,2016-05-29,431,"No","No",2562,"No",13.1579,"United Kingdom ",7.6,7.1,5,452,"No"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Standard","Solo traveler","Solo traveler",2,2015-08-11,723,"No","No",9086,"No",0,"United Kingdom ",7.1,7.5,22,2682,"No"
"The Cumberland A Guoman Hotel","Gran Bretaña","London",51.514879,-0.1606501,"61","5","87","Standard","Group","Business trip",1,2016-01-09,572,"No","No",5180,"No",37.5,"United Kingdom ",7.5,7.5,2,1190,"Yes"
"Hotel Okura Amsterdam","Holanda","Amsterdam",52.3487635,4.8938829,"3","24","238","Other","Couple","Leisure trip",2,2017-05-22,73,"No","No",2295,"No",40,"United Kingdom ",8.9,9.2,3,383,"No"
"London Marriott Hotel Kensington","Gran Bretaña","London",51.4944849,-0.1884174,"3","308","18","Other","Family","Leisure trip",2,2015-08-15,719,"No","No",449,"No",17.6471,"United Arab Emirates ",8,7.1,24,105,"Yes"
"Novotel Paris Les Halles","Francia","Paris",48.8607299,2.3465326,"99","177","172","Family","Family","Leisure trip",1,2016-09-19,318,"No","No",2398,"Yes",100,"United Kingdom ",8.4,9.2,4,245,"Yes"
"Nottingham Place Hotel","Gran Bretaña","London",51.522143,-0.153385,"95","29","92","Business","Solo traveler","Business trip",1,2017-06-29,35,"No","No",580,"Yes",100,"United Kingdom ",8.2,10,1,103,"Yes"
"AC Hotel Milano a Marriott Lifestyle Hotel","Italia","Milan",45.4851799,9.1831189,"51","2","9","Other","Couple","Leisure trip",2,2017-01-06,209,"No","No",580,"Yes",51.8519,"United Kingdom ",8.3,9.2,13,56,"No"
"Radisson Blu Edwardian Berkshire","Gran Bretaña","London",51.5146025,-0.1481978,"102","67","94","Deluxe","Solo traveler","Leisure trip",8,2017-02-01,183,"No","No",1600,"Yes",66.6667,"Saudi Arabia ",8.1,9.6,5,252,"Yes"
"The RE London Shoreditch","Gran Bretaña","London",51.531979,-0.061598,"62","245","7","Other","Couple","Leisure trip",1,2016-07-12,387,"Yes","Yes",2147,"Yes",100,"United Kingdom ",7.8,7.5,1,688,"Yes"
"H tel Saint Marc","Francia","Paris",48.8708863,2.3382128,"41","163","178","Deluxe","Solo traveler","Business trip",1,2016-07-15,384,"No","No",377,"Yes",53.3333,"Germany ",9.3,9.2,1,44,"No"
"Megaro Hotel","Gran Bretaña","London",51.5294411,-0.1233745,"56","35","109","Standard","Solo traveler","Business trip",2,2016-03-01,520,"No","No",1803,"No",15.3846,"South Africa ",8.8,7.9,10,392,"No"
"DoubleTree by Hilton Hotel London Marble Arch","Gran Bretaña","London",51.514573,-0.15666,"56","29","90","Other","Solo traveler","Solo traveler",7,2016-03-09,512,"No","No",1290,"No",44.4444,"Egypt ",8.1,6.7,3,255,"Yes"
"The Rembrandt","Gran Bretaña","London",51.4959227,-0.1702917,"84","274","73","Classic","Couple","Leisure trip",7,2016-05-28,432,"No","No",1802,"Yes",51.6129,"Israel ",8.5,10,1,421,"Yes"
"Best Western Aulivia Op ra","Francia","Paris",48.8730552,2.3540112,"91","125","161","Classic","Solo traveler","Leisure trip",1,2016-01-05,576,"No","No",570,"No",46.1538,"Australia ",7.8,8.8,8,51,"Yes"
"IntercityHotel Wien","Austria","Vienna",48.1965878,16.3413729,"70","12","240","Other","Couple","Leisure trip",4,2016-09-19,318,"No","No",3003,"No",46.6667,"Israel ",8.5,9.6,10,190,"No"
"H tel Horset Op ra Best Western Premier Collection","Francia","Paris",48.8691686,2.3337818,"88","136","176","Other","Couple","Leisure trip",2,2016-05-19,441,"No","No",941,"Yes",100,"Ireland ",8.5,8.3,13,110,"Yes"
"Starhotels Ritz","Italia","Milan",45.4779041,9.2094965,"59","24","241","Other","Couple","Leisure trip",2,2017-05-30,65,"No","No",4248,"Yes",76.3636,"United Arab Emirates ",8.1,8.8,33,353,"Yes"
"The Hoxton Shoreditch","Gran Bretaña","London",51.5255136,-0.082927,"83","60","53","Other","Couple","Leisure trip",1,2016-07-06,393,"No","No",1732,"Yes",100,"United Kingdom ",9,10,2,524,"No"
"Catalonia Atenas","España","Barcelona",41.4110056,2.1866009,"84","203","29","Other","Family","Leisure trip",3,2016-07-29,370,"No","No",6792,"No",47.8261,"Greece ",7.9,8.3,9,541,"Yes"
"K K Hotel Maria Theresia","Austria","Vienna",48.2031622,16.3561999,"81","65","5","Other","Couple","Leisure trip",5,2015-09-17,686,"No","No",3181,"Yes",100,"Canada ",8.7,9.6,4,285,"Yes"
"Holiday Inn London Kensington","Gran Bretaña","London",51.499981,-0.1928791,"50","5","7","Standard","Family","Leisure trip",4,2016-11-21,255,"No","No",5945,"No",35.2941,"Sweden ",7.8,8.8,1,1172,"No"
