"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
1593,77358,"VI - Western Visayas",57681,"Enterpreneurial Activities","1",3540,585,507,12600,2700,1414,2404,0,55418,"Male",45,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,1,1,0,"Single house",20,6,1,1,0,0,0
1594,129604," ARMM",70153,"Enterpreneurial Activities","1",0,520,2935,15144,10800,10118,4338,99700,113900,"Male",50,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",11,2,5,0,"Single house",50,15,1,0,0,0,0
1595,186059,"II - Cagayan Valley",87820,"Wage/Salaries","1",32890,4568,3730,11610,5400,29890,13672,0,0,"Male",44,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",5,0,1,3,"Single house",20,19,1,1,0,2,0
1596,103396,"Caraga",52739,"Enterpreneurial Activities","0",4930,0,1935,12384,4800,8354,3162,24925,75260,"Male",34,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,2,1,"Single house",35,5,1,1,0,0,0
1597,237460,"XI - Davao Region",96165,"Other sources of Income","0",5420,1570,479,61098,24000,28215,25648,0,32200,"Female",37,"Divorced/Separated","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,1,2,"Single house",75,12,4,1,0,1,0
1598,175070,"V - Bicol Region",93922,"Enterpreneurial Activities","0",1790,4400,3910,30360,9600,11474,11014,0,102410,"Male",51,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,3,0,"Single house",80,8,2,1,0,2,1
1599,33727,"X - Northern Mindanao",20128,"Wage/Salaries","1",0,2002,1774,5220,2400,270,900,0,0,"Male",39,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,0,2,"Single house",16,12,1,0,0,0,0
1600,132135,"VI - Western Visayas",72377,"Other sources of Income","0",17980,3058,4280,23658,7800,27328,11424,23825,23825,"Male",62,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,0,1,"Single house",41,25,2,1,0,1,0
1601,234431,"III - Central Luzon",114615,"Enterpreneurial Activities","0",5480,6154,1280,54210,27000,43137,5676,0,155680,"Male",48,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",5,0,3,1,"Single house",60,25,2,1,0,1,0
1602,116280,"Caraga",55175,"Enterpreneurial Activities","1",0,3730,1760,21660,4200,5048,4662,60297,60297,"Male",62,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,0,0,3,"Single house",29,15,1,1,0,1,1
1603,87677,"Caraga",72171,"Wage/Salaries","0",1640,2936,3185,11922,6000,5735,7495,0,32697,"Male",37,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,2,1,"Single house",20,13,0,1,0,1,0
1604,228838,"NCR",72118,"Other sources of Income","2",22180,1300,970,65514,48000,11286,48462,0,112838,"Male",49,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",40,35,1,1,0,2,0
1605,130426,"III - Central Luzon",53287,"Wage/Salaries","0",5353,3620,1110,24846,0,8544,15974,0,0,"Female",78,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",4,0,2,1,"Duplex",60,10,1,1,0,1,0
1606,81267,"VI - Western Visayas",50880,"Wage/Salaries","1",3930,8245,3970,8220,4200,3516,6386,0,0,"Male",40,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",4,0,2,2,"Single house",14,25,1,1,0,2,0
1607,96955,"XI - Davao Region",51580,"Enterpreneurial Activities","1",2399,0,1925,7386,2400,19982,3268,34125,53625,"Male",53,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",18,13,2,0,0,0,0
1608,109627,"Caraga",45950,"Other sources of Income","0",800,780,1790,6600,4200,16754,7146,24684,31850,"Male",53,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,1,0,"Single house",60,20,1,1,0,1,0
1609,163510,"III - Central Luzon",87285,"Wage/Salaries","0",20280,10160,2110,18420,0,39870,18602,0,0,"Male",33,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,3,"Single house",50,20,2,1,0,3,0
1610,472138,"VII - Central Visayas",174830,"Other sources of Income","0",96438,0,9634,36768,15000,36706,11858,0,188958,"Male",53,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,1,0,"Single house",100,25,4,1,0,2,1
1611,110640,"XII - SOCCSKSARGEN",75434,"Wage/Salaries","0",5150,2725,1190,19950,15000,24626,6432,0,0,"Male",53,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",5,1,1,3,"Single house",22,21,2,1,0,2,1
1612,330004,"III - Central Luzon",123781,"Wage/Salaries","0",43720,15230,5810,37080,18000,25080,20416,0,72544,"Male",56,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,2,"Single house",35,24,2,1,0,2,0
1613,276144,"III - Central Luzon",79633,"Wage/Salaries","0",10100,1498,7000,61500,30000,99148,19308,0,94500,"Male",51,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,2,1,"Single house",50,13,2,1,1,4,0
1614,91862,"XII - SOCCSKSARGEN",34771,"Wage/Salaries","2",570,7240,1680,5928,2400,28593,13194,0,0,"Male",30,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,2,0,1,"Single house",7,2,0,1,0,1,0
1615,185351,"IVA - CALABARZON",70459,"Wage/Salaries","0",6680,0,2040,30138,21000,19140,6126,0,59393,"Female",64,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,3,2,"Single house",80,32,1,1,0,1,0
1616,84899,"I - Ilocos Region",40740,"Other sources of Income","0",5430,1170,0,28644,18000,4998,5724,0,0,"Male",71,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",96,11,1,1,0,1,0
1617,816300,"NCR",198820,"Enterpreneurial Activities","1",67400,5934,17755,251760,120000,212726,40328,455700,455700,"Male",53,"Married","Program Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",4,0,1,0,"Single house",100,35,3,1,1,4,0
1618,276050,"XI - Davao Region",135676,"Enterpreneurial Activities","0",25149,1560,11800,31032,18000,26050,17532,0,186160,"Male",38,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,3,1,"Single house",80,10,2,1,0,3,1
1619,143213,"V - Bicol Region",80058,"Wage/Salaries","0",1200,3800,2035,11598,6000,3883,3468,0,62230,"Male",52,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,3,1,"Single house",23,12,2,1,0,2,0
1620,211800,"CAR",44767,"Wage/Salaries","0",18000,810,960,48540,21000,39303,7926,0,63000,"Male",42,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",6,2,0,2,"Single house",70,13,2,1,0,4,0
1621,43599,"IVB - MIMAROPA",23142,"Other sources of Income","1",50,2092,430,6198,3600,2606,1962,20800,20800,"Male",56,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",11,3,1,1,0,0,0
1622,241670,"NCR",128214,"Wage/Salaries","2",64700,5616,3810,62610,21000,51532,28670,0,37850,"Female",54,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,2,"Single house",25,13,1,1,0,2,0
1623,136500,"NCR",66256,"Wage/Salaries","2",13770,6758,2180,23076,0,20437,6566,0,0,"Male",25,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Multi-unit residential",30,13,0,1,0,2,0
1624,82575,"XI - Davao Region",54728,"Wage/Salaries","1",1188,3218,5779,4068,2400,3383,4650,9610,9610,"Male",42,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",5,0,3,2,"Single house",144,4,2,0,0,0,0
1625,150090,"I - Ilocos Region",76245,"Other sources of Income","0",2000,7995,4400,12720,4800,77337,12776,54050,54050,"Male",66,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Worked without pay in own family-operated farm or business",4,1,0,0,"Single house",56,25,2,1,0,2,0
1626,81705,"X - Northern Mindanao",50049,"Wage/Salaries","1",2708,25,810,5940,2100,2950,4530,18437,18437,"Male",46,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,1,3,3,"Single house",50,20,2,1,0,1,0
1627,154120,"II - Cagayan Valley",116028,"Wage/Salaries","0",2400,870,2770,22896,3600,13540,16148,0,25840,"Male",34,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,2,0,1,"Single house",30,35,2,1,0,2,1
1628,139108,"IVA - CALABARZON",58206,"Wage/Salaries","0",10530,4824,2500,27936,12000,37710,13178,0,0,"Male",55,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",5,0,2,2,"Single house",60,11,4,1,0,3,1
1629,210425,"NCR",126634,"Wage/Salaries","2",33960,3343,13920,43302,3000,40733,11038,0,0,"Male",34,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,1,4,3,"Single house",20,4,0,1,0,1,0
1630,110750,"VI - Western Visayas",69986,"Enterpreneurial Activities","1",5997,9144,1108,9852,3600,16332,4950,0,74490,"Male",48,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",60,26,1,1,0,1,0
1631,94340,"X - Northern Mindanao",44780,"Wage/Salaries","0",300,2126,2043,12180,7800,3450,4428,0,0,"Male",31,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private household",6,1,3,1,"Single house",70,28,2,1,0,1,0
1632,155582,"IX - Zasmboanga Peninsula",60623,"Other sources of Income","0",13600,0,1030,24900,18000,7046,14270,0,19382,"Male",76,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",4,0,1,1,"Single house",60,21,3,1,0,1,0
1633,79514,"CAR",38867,"Other sources of Income","0",0,680,2250,16812,8400,16754,8529,1945,7895,"Male",49,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,2,0,2,"Single house",16,27,1,1,0,0,0
1634,207570,"VII - Central Visayas",86687,"Wage/Salaries","0",20870,7150,3167,23082,0,20812,12564,0,0,"Male",40,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Single house",50,25,1,1,0,2,1
1635,91136,"X - Northern Mindanao",63611,"Other sources of Income","0",34400,6100,1095,18936,12000,2072,1542,0,0,"Male",51,"Divorced/Separated","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",56,45,4,1,0,1,0
1636,61325,"XI - Davao Region",39286,"Wage/Salaries","2",0,480,540,12666,6000,2313,1800,10980,10980,"Male",29,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,2,0,1,"Single house",20,2,1,1,0,0,0
1637,127580," ARMM",49693,"Wage/Salaries","0",1580,1638,1696,14676,6600,4185,14862,0,23520,"Male",36,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,2,1,1,"Single house",12,5,1,1,0,1,0
1638,47686,"Caraga",24556,"Wage/Salaries","1",360,0,175,9120,2700,2168,1602,0,0,"Male",64,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",2,0,0,1,"Single house",25,6,1,1,0,0,0
1639,542128,"IX - Zasmboanga Peninsula",117643,"Wage/Salaries","0",16000,570,9168,50310,27000,36704,47578,0,0,"Male",33,"Single","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,0,3,"Single house",50,29,4,1,0,3,1
1640,407053,"Caraga",98336,"Other sources of Income","0",6310,720,35974,64050,42000,84331,20950,0,54698,"Female",46,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",5,0,0,0,"Single house",50,6,4,1,0,4,0
1641,460590,"III - Central Luzon",166369,"Wage/Salaries","0",54000,3825,2170,81120,21000,43293,15508,0,118720,"Male",43,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",8,2,1,3,"Single house",100,25,2,1,0,4,0
1642,235841,"CAR",52025,"Enterpreneurial Activities","1",0,210,2100,17160,9000,9640,5704,210941,210941,"Male",64,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,1,1,"Single house",75,41,1,1,0,1,1
1643,750050,"X - Northern Mindanao",128675,"Wage/Salaries","0",48200,0,3567,125502,96000,53692,103472,0,0,"Female",74,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",3,0,0,2,"Single house",71,17,3,1,0,3,0
1644,74303," ARMM",45965,"Enterpreneurial Activities","1",9695,0,1645,14604,9600,2211,2784,55930,55930,"Female",46,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",4,0,1,0,"Single house",32,34,4,1,0,1,0
1645,275800,"IVA - CALABARZON",85825,"Other sources of Income","0",20680,0,1100,56298,13200,18089,15354,0,0,"Male",65,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,1,2,"Single house",100,25,2,1,0,3,0
1646,607420,"VII - Central Visayas",139599,"Other sources of Income","0",5140,4768,8140,88398,13800,84514,31680,0,15118,"Male",68,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",5,1,0,0,"Single house",68,16,5,1,1,4,3
1647,92180,"VII - Central Visayas",23740,"Enterpreneurial Activities","1",0,1900,2300,8760,4200,3492,2934,2993,67803,"Male",60,"Divorced/Separated","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",20,15,2,1,0,0,0
1648,74344,"V - Bicol Region",45394,"Enterpreneurial Activities","0",3600,342,1545,12240,4200,9460,6018,0,32434,"Male",47,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,1,3,1,"Single house",30,25,1,1,0,0,0
1649,150075,"VII - Central Visayas",71753,"Wage/Salaries","0",2950,7406,3225,13776,7800,3738,4762,0,58464,"Male",62,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,1,1,1,"Single house",40,13,2,0,0,1,0
1650,412780,"VI - Western Visayas",112997,"Other sources of Income","0",11180,0,7729,52548,30000,51179,27672,0,7290,"Male",60,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",64,17,2,1,0,4,0
1651,139998,"X - Northern Mindanao",78586,"Wage/Salaries","0",12740,2175,1610,17340,8400,18752,16272,0,0,"Male",46,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,0,2,2,"Single house",35,22,1,1,0,2,0
1652,247800,"NCR",97144,"Wage/Salaries","0",51220,0,5100,56280,36000,33307,22178,0,0,"Female",41,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",2,0,0,1,"Single house",30,45,1,1,0,2,0
1653,59720,"III - Central Luzon",22356,"Other sources of Income","0",11070,0,2800,27150,21000,4820,752,0,0,"Female",87,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",80,42,2,1,0,0,0
1654,406388,"I - Ilocos Region",112762,"Wage/Salaries","0",24010,780,8987,26118,7800,21868,57654,4521,4521,"Female",42,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",7,0,0,2,"Single house",24,30,1,1,0,4,1
1655,147420,"X - Northern Mindanao",62137,"Wage/Salaries","0",5125,0,3183,35700,24000,12874,12168,0,0,"Male",37,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,1,1,"Single house",75,17,2,1,0,2,0
1656,84386,"NCR",32292,"Other sources of Income","2",0,2534,70,33312,24000,9241,3042,0,40386,"Male",56,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,0,0,"Multi-unit residential",28,35,0,1,0,2,0
1657,81195,"IVA - CALABARZON",45457,"Wage/Salaries","0",5280,2715,2570,21198,16800,2212,5564,0,10800,"Male",47,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",5,1,2,2,"Single house",70,22,1,1,0,1,0
1658,158243,"VII - Central Visayas",95550,"Wage/Salaries","0",18703,9270,1210,41670,30000,8876,5202,0,0,"Male",42,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",5,0,3,1,"Single house",38,36,1,1,0,3,0
1659,106890,"XII - SOCCSKSARGEN",68619,"Other sources of Income","0",3700,11765,4597,15672,6000,9995,11388,0,30400,"Male",35,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",4,1,1,1,"Single house",40,11,2,1,0,1,1
1660,603323,"II - Cagayan Valley",186508,"Wage/Salaries","0",94260,6734,15179,69864,37800,133091,50704,206779,219679,"Male",41,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",6,0,4,2,"Single house",90,20,3,1,2,5,1
1661,176650,"Caraga",81936,"Enterpreneurial Activities","0",25662,0,5025,19752,12000,33705,7710,20600,156700,"Male",42,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,4,0,"Single house",34,7,2,1,1,2,1
1662,145330,"III - Central Luzon",64723,"Other sources of Income","0",10340,990,3500,32682,12000,23533,11720,0,53090,"Male",70,"Married","No Studies","No Job/Business","No Occupation","Unemployed",6,0,1,0,"Single house",150,70,2,1,0,0,1
1663,566295,"I - Ilocos Region",137217,"Wage/Salaries","0",35542,3492,11390,25710,9000,66539,28664,3551,198251,"Male",43,"Married","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",5,1,2,2,"Single house",30,5,1,1,0,3,2
1664,87880,"XII - SOCCSKSARGEN",46516,"Wage/Salaries","2",3215,0,1352,12060,4800,3960,2436,0,33680,"Male",32,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,1,0,1,"Single house",35,15,1,1,0,1,0
1665,123405,"VI - Western Visayas",84064,"Wage/Salaries","1",2430,1910,3280,7596,1800,4483,12126,0,0,"Male",53,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,1,4,"Single house",33,20,2,1,0,0,0
1666,111188," ARMM",61863,"Enterpreneurial Activities","0",4445,0,1310,24810,21000,3513,5106,0,87620,"Male",28,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,2,1,0,"Single house",150,35,2,0,0,1,0
1667,193868,"XI - Davao Region",73962,"Other sources of Income","1",6160,2715,1270,20460,10200,25084,53102,0,39098,"Female",25,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,1,2,0,"Single house",32,12,2,1,0,1,1
1668,56018," ARMM",37245,"Enterpreneurial Activities","1",345,0,1060,8538,5400,1972,2838,31855,31855,"Male",21,"Married","No Studies","No Job/Business","No Occupation","Unemployed",3,1,0,0,"Single house",68,18,0,0,0,1,0
1669,338415,"V - Bicol Region",94520,"Wage/Salaries","0",22230,5788,6270,46626,18000,19233,29656,0,0,"Male",55,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",80,19,2,1,0,3,1
1670,254083,"I - Ilocos Region",88589,"Wage/Salaries","0",17148,5399,2850,17100,6000,36665,10120,0,0,"Male",52,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,0,4,"Single house",108,65,2,1,0,5,2
1671,122450," ARMM",85116,"Enterpreneurial Activities","1",6660,0,1785,11298,6000,6585,10044,83870,107070,"Female",66,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",6,0,3,0,"Single house",50,20,2,0,0,2,0
1672,30180,"VIII - Eastern Visayas",22299,"Other sources of Income","0",200,240,880,6558,2400,3858,432,6205,6205,"Male",80,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",45,7,1,1,0,0,0
1673,128880,"XI - Davao Region",52545,"Wage/Salaries","0",6730,12294,1739,29730,21000,12336,3974,0,0,"Male",39,"Married","No Studies","With Job/Business","Secondary Sector","Worked for private establishment",5,2,1,1,"Single house",10,39,0,1,0,1,0
1674,57045,"Caraga",37312,"Other sources of Income","0",300,2120,1590,8892,6000,4248,4156,16685,16685,"Male",72,"Married","No Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",2,0,0,0,"Single house",30,32,2,1,0,0,0
1675,77390,"VI - Western Visayas",58121,"Wage/Salaries","1",5050,4665,4020,10050,3600,9364,5888,5750,12902,"Male",56,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",4,0,2,1,"Single house",20,1,1,1,0,1,1
1676,114950,"II - Cagayan Valley",78161,"Enterpreneurial Activities","1",7840,3120,1080,12600,5400,6114,7246,67350,67350,"Male",32,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",4,0,2,0,"Single house",20,11,1,0,0,0,0
1677,371852,"III - Central Luzon",104438,"Other sources of Income","0",13400,7244,17698,296568,72000,68485,125452,0,0,"Female",27,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",2,0,1,1,"Single house",80,2,2,1,1,2,0
1678,136765,"III - Central Luzon",66941,"Wage/Salaries","1",4452,8832,2530,26940,13800,5662,6802,0,29955,"Male",51,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,0,2,4,"Single house",40,30,2,1,0,3,2
1679,484608,"VII - Central Visayas",123880,"Wage/Salaries","0",15160,39,1840,58410,30000,62307,43206,0,0,"Male",54,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,2,2,"Single house",200,19,1,1,0,4,1
1680,162213,"III - Central Luzon",62730,"Wage/Salaries","0",16930,7086,1560,16920,9000,15466,8116,0,0,"Male",31,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,1,0,1,"Duplex",20,9,1,1,0,1,0
1681,49546,"XII - SOCCSKSARGEN",51304,"Wage/Salaries","1",3900,1040,0,6780,3000,1828,3224,0,0,"Male",49,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",5,0,2,2,"Single house",15,22,1,1,0,1,0
1682,198232,"XI - Davao Region",70550,"Wage/Salaries","0",29400,4202,1670,20100,12000,21281,7224,0,57000,"Female",52,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,1,1,"Single house",29,16,1,1,0,3,0
1683,87179,"XI - Davao Region",33924,"Enterpreneurial Activities","1",1060,5115,292,7980,3600,10170,13668,55010,67710,"Male",32,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,1,"Single house",40,13,1,1,0,1,0
1684,93596,"X - Northern Mindanao",71182,"Other sources of Income","0",25677,0,2648,16374,9600,22311,5074,4551,4551,"Male",60,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,1,1,"Single house",90,35,3,1,0,1,1
1685,209797,"IVB - MIMAROPA",98272,"Wage/Salaries","0",14890,2080,2760,19416,12000,25330,6122,16750,16750,"Male",42,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",10,1,3,4,"Single house",96,55,2,1,0,4,1
1686,446055,"IX - Zasmboanga Peninsula",125344,"Other sources of Income","0",8600,4544,6176,132690,120600,78618,27876,26840,41850,"Male",60,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,2,1,2,"Single house",86,19,3,1,0,5,1
1687,87229,"Caraga",53748,"Wage/Salaries","1",3053,1020,5364,5118,2400,4491,4816,0,0,"Male",49,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",8,0,4,2,"Single house",34,4,1,0,0,1,0
1688,228430,"CAR",108938,"Wage/Salaries","0",24215,3936,2600,62610,48000,13728,16220,0,24000,"Female",55,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,1,1,"Single house",80,22,3,1,0,6,0
1689,52035,"X - Northern Mindanao",23555,"Other sources of Income","0",3500,50,430,14850,9000,5941,2468,13086,23882,"Male",74,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",100,17,2,1,0,1,0
1690,482700,"NCR",145059,"Wage/Salaries","2",41350,9372,18670,118602,72000,67854,49866,0,167900,"Male",41,"Married","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",6,0,3,1,"Single house",130,45,3,1,0,4,0
1691,332699,"VII - Central Visayas",99978,"Other sources of Income","0",8320,0,350,95946,60000,39662,9167,0,62400,"Female",40,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",4,1,2,0,"Single house",129,5,2,1,0,1,0
1692,296784,"IVA - CALABARZON",118451,"Wage/Salaries","0",28322,0,5700,64800,39000,40544,21100,0,88800,"Male",43,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,0,1,"Single house",37,12,2,1,0,5,0
1693,189943,"III - Central Luzon",73190,"Wage/Salaries","0",15520,120,3810,10824,5400,14768,10670,0,0,"Male",50,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,2,"Single house",70,20,2,1,0,3,1
1694,109410,"IVA - CALABARZON",57574,"Wage/Salaries","0",8210,1629,2895,19938,15000,13891,17962,0,0,"Male",31,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Single house",20,11,1,1,0,2,0
1695,107023,"Caraga",61498,"Wage/Salaries","0",1880,10230,3245,6060,2400,6661,13204,9778,9778,"Male",55,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,0,3,2,"Single house",19,52,2,1,0,3,0
1696,52753,"III - Central Luzon",95851,"Other sources of Income","0",588,0,1840,12888,6000,4538,2978,0,0,"Male",76,"Married","No Studies","With Job/Business","Primary Sector","Worked without pay in own family-operated farm or business",5,0,2,0,"Single house",80,10,2,1,0,1,0
1697,344632,"XI - Davao Region",75590,"Enterpreneurial Activities","0",8300,21340,7850,10026,3000,20946,19262,58444,178424,"Female",47,"Single","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,0,2,"Single house",36,15,2,1,0,4,1
1698,86800,"II - Cagayan Valley",57520,"Wage/Salaries","0",5680,0,2450,11640,2100,12381,4992,0,0,"Male",40,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",48,55,2,1,0,2,1
1699,105228,"X - Northern Mindanao",44749,"Enterpreneurial Activities","0",2720,6638,920,10200,4200,7234,3138,12892,43592,"Male",54,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,0,2,1,"Single house",40,3,1,1,0,1,0
1700,427812,"I - Ilocos Region",126448,"Other sources of Income","0",12500,14274,22749,68208,30000,29922,22336,0,0,"Female",79,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",4,0,1,0,"Single house",120,8,3,1,0,1,2
